CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE
CHEMBL509032	447450	CHEMBL509032	447450	TAE-684	12, NVP-TAE684	614.2	5.34	111.31	2	COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	2206936	EC50	=	1474	nM	5.83				531125	CHEMBL974011	B	Inhibition of Syk by cellular assay	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			41910	CHEMBL1149823	18077425	Proc. Natl. Acad. Sci. U.S.A.	2007	104	50	19936
CHEMBL471901	459723	CHEMBL471901	459723		2	340.3	1.59	118.94	0	NCCNc1ncc(C(=O)N)c(Nc2cccc(c2)C(F)(F)F)n1	2575683	IC50	=	41	nM	7.39				490569	CHEMBL981176	B	Inhibition of human Syk	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			43944	CHEMBL1155791	18585046	Bioorg. Med. Chem.	2008	16	15	7347
CHEMBL475251	460144	CHEMBL475251	460144		3, R406	470.45	3.88	128.75	0	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC	12108543	EC50	=	171	nM	6.77				861784	CHEMBL2173297	B	Inhibition of SYK in human THP1 cells assessed as reduction in FcepsilonR1/FcgammaR-mediated signaling responses	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL475251	460144	CHEMBL475251	460144		3, R406	470.45	3.88	128.75	0	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC	12108544	EC50	=	111	nM	6.95				861786	CHEMBL2173299	B	Inhibition of SYK in human macrophages assessed as reduction in FcepsilonR1/FcgammaR-mediated signaling responses	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL30824	45267	CHEMBL30824	45267		48	335.45	2.99	53.08	0	CNCCCNc1nc(cc2ncccc12)c3ccc(cc3)N(C)C	12108603	IC50	=	78	nM	7.11				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL583144	571178	CHEMBL583144	571178		3b	271.12	3.23	69.7	0	Clc1ccc(Cl)c2c3N=CNC(=O)c3sc12	2943277	Ki	=	351.4	nM	6.45				588874	CHEMBL1060319	B	Inhibition of SYK by HTRF assay	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			48531	CHEMBL1154637	19842661	J. Med. Chem.	2009	52	21	6621
CHEMBL465471	473230	CHEMBL465471	473230		10t	476.48	2.77	142.1	0	COC(=O)c1ccc(CNc2nc(Nc3cc(OC)cc(OC)c3)c(C(=O)N)c4nccn24)cc1	2592617	IC50	=	4800	nM	5.32				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL1085511	633172	CHEMBL1085511	633172		4c	499.61	4.01	101.02	0	CC(C)COC(=O)Nc1ccc(cc1)c2cnc3c(cnn3c2N)c4ccc(cc4)N5CCN(C)CC5	3315907	IC50	>	10000	nM					635453	CHEMBL1120253	B	Inhibition of Syk	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			51393	CHEMBL1158604	20483608	Bioorg. Med. Chem. Lett.	2010	20	12	3628
CHEMBL86755	140950	CHEMBL86755	140950		6	210.23	2.12	44.89	0	O=C1Nc2ccccc2/C/1=C/c3ccc[nH]3	2480550	Activity					Not Evaluated			538083	CHEMBL1024905	B	Binding affinity to human SYK at 10 uM relative to control	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44776	CHEMBL1151712	19035792	J. Med. Chem.	2008	51	24	7898
CHEMBL2069357	1359495	CHEMBL2069357	1359495		19i	470.53	1.93	125.78	0	Cc1cc(C(=O)Nc2cc(Nc3cnccn3)nc(c2)c4ccnc(c4)N5CCNCC5)n(C)n1	10984701	IC50	=	7	nM	8.15				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL285346	45031	CHEMBL285346	45031		44	357.25	3.14	63.83	0	NCCCNc1nc(cc2ncccc12)c3ccc(Br)cc3	12108607	IC50	=	260	nM	6.59				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL2069346	1359484	CHEMBL2069346	1359484		13b	399.41	4.63	53.08	0	FC(F)(F)c1ccnc(Nc2cccc(n2)c3cccc(c3)N4CCNCC4)c1	10984690	IC50	=	.6	nM	9.22				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL472840	490279	CHEMBL472840	490279		14c	537.01	4.27	154.71	1	COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n4nc(nc4c2C(=O)N)c5ccccc5Cl)cc(OC)c1	2575672	IC50	=	50	nM	7.3				490569	CHEMBL981176	B	Inhibition of human Syk	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			43944	CHEMBL1155791	18585046	Bioorg. Med. Chem.	2008	16	15	7347
CHEMBL478649	490228	CHEMBL478649	490228		10	348.44	3.56	58.2	0	Cc1ccc(cc1c2ccc(cc2)C(=O)NCC3CC3)C(=O)NC4CC4	2594991	Activity					Not Evaluated			538083	CHEMBL1024905	B	Binding affinity to human SYK at 10 uM relative to control	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44776	CHEMBL1151712	19035792	J. Med. Chem.	2008	51	24	7898
CHEMBL525893	486770	CHEMBL525893	486770		25	395.41	2.54	98.14	0	CC1=C(C(=O)N(C=C1)c2ccc(cc2)c3occn3)c4ccc5nc(N)ncc5c4	2357004	Inhibition	>	50	%					556008	CHEMBL964658	B	Inhibition of SYK at 1 uM relative to control	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			42087	CHEMBL1150317	18447379	J. Med. Chem.	2008	51	11	3065
CHEMBL515466	490604	CHEMBL515466	490604		18	440.58	6.05	58.2	1	Cc1ccc(cc1c2ccc(cc2)C(=O)NCC3CC3)C(=O)Nc4cccc(c4)C(C)(C)C	2595260	Activity					Not Evaluated			538083	CHEMBL1024905	B	Binding affinity to human SYK at 10 uM relative to control	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44776	CHEMBL1151712	19035792	J. Med. Chem.	2008	51	24	7898
CHEMBL2170584	1430069	CHEMBL2170584	1430069		Ac-Thr-p-Tyr-Glu-Thr-Leu-NH2	746.7	-2.14	342.92	3	CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)[C@@H](NC(=O)C)[C@@H](C)O)[C@@H](C)O)C(=O)N	12108645	IC50	=	20000	nM	4.7				861817	CHEMBL2173410	B	Inhibition of SYK C-terminal domain binding to ITAM	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL465099	473159	CHEMBL465099	473159		10n	454.43	3.33	115.8	0	COc1cc(Nc2nc(NCc3ccc(F)cc3F)n4ccnc4c2C(=O)N)cc(OC)c1	2592611	IC50	=	3700	nM	5.43				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL2069335	1359473	CHEMBL2069335	1359473		7b	321.38	3.25	82.96	0	Cc1ccnc(Nc2cccc(n2)c3ccnc(NCCO)c3)c1	10984683	IC50	=	1872	nM	5.73				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL465098	473158	CHEMBL465098	473158		10m	454.43	3.33	115.8	0	COc1cc(Nc2nc(NCc3cc(F)cc(F)c3)n4ccnc4c2C(=O)N)cc(OC)c1	2592610	IC50	=	9800	nM	5.01				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL601719	602271	CHEMBL601719	602271	CRIZOTINIB	14, PF-2341066	450.34	3.69	77.99	0	C[C@@H](Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl	2206990	IC50	>	10000	nM					531374	CHEMBL990563	B	Inhibition of Syk	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			41910	CHEMBL1149823	18077425	Proc. Natl. Acad. Sci. U.S.A.	2007	104	50	19936
CHEMBL30271	44676	CHEMBL30271	44676		36	324.38	2.67	93.29	0	COc1ccc(cc1)c2cc3nc(O)ccc3c(NCCCN)n2	12108615	IC50	>	30	ug.mL-1					861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL511337	513072	CHEMBL511337	513072		16	296.3	3.38	83.8	0	NC(=O)c1ccc(Nc2cc([nH]n2)c3ccc(F)cc3)cc1	2593845	Activity					Not Evaluated			538083	CHEMBL1024905	B	Binding affinity to human SYK at 10 uM relative to control	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44776	CHEMBL1151712	19035792	J. Med. Chem.	2008	51	24	7898
CHEMBL31141	44060	CHEMBL31141	44060		50	336.43	3.31	64.27	0	CN(C)c1ccc(cc1)c2cc3ncccc3c(OCCCCN)n2	12108601	IC50	=	160	nM	6.8				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL33373	44788	CHEMBL33373	44788		33	265.31	3.34	47.04	0	CNc1nc(nc2ccccc12)c3ccc(OC)cc3	12108618	IC50	=	40000	nM	4.4				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL50	3666	CHEMBL50	3666	QUERCETIN	16	302.24	1.63	127.45	0	OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3	12108634	IC50	=	20000	nM	4.7				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL509032	447450	CHEMBL509032	447450	TAE-684	TAE-684	614.2	5.34	111.31	2	COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	2198017	IC50	=	1474	nM	5.83				509006	CHEMBL1006347	B	Inhibition of Tel-fused Syk kinase-mediated mouse BaF3 cell proliferation	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			42471	CHEMBL1156430	17185414	Proc. Natl. Acad. Sci. U.S.A.	2007	104	1	270
CHEMBL2069347	1359485	CHEMBL2069347	1359485		13c	333.39	1.93	78.86	0	C1CN(CCN1)c2cc(ccn2)c3cccc(Nc4cnccn4)n3	10984691	IC50	=	62	nM	7.21				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL56904	88376	CHEMBL56904	88376		8, Demethyl-imatinib	479.58	3.73	86.28	0	CN1CCN(Cc2ccc(cc2)C(=O)Nc3cccc(Nc4nccc(n4)c5cccnc5)c3)CC1	12108637	Ki	=	160	nM	6.8				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL464043	473093	CHEMBL464043	473093		10j	448.47	2.9	125.03	0	COc1ccc(CNc2nc(Nc3cc(OC)cc(OC)c3)c(C(=O)N)c4nccn24)cc1	2592607	IC50	=	11200	nM	4.95				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL475251	460144	CHEMBL475251	460144		3, R406	470.45	3.88	128.75	0	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC	12108545	EC50	=	56	nM	7.25				861785	CHEMBL2173298	B	Inhibition of SYK in cultured human mesangial cells assessed as reduction in FcepsilonR1/FcgammaR-mediated signaling responses	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL282342	44471	CHEMBL282342	44471		12	335.45	3.14	67.07	0	CN(C)c1ccc(cc1)c2cc3ncccc3c(NCCCCN)n2	2479583	IC50	=	34	nM	7.47				538127	CHEMBL1025770	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			44776	CHEMBL1151712	19035792	J. Med. Chem.	2008	51	24	7898
CHEMBL69863	108981	CHEMBL69863	108981	PICEATANNOL	12, Piceatannol	244.24	2.85	80.92	0	Oc1cc(O)cc(\C=C\c2ccc(O)c(O)c2)c1	12108595	EC50	=	25000	nM	4.6				861814	CHEMBL2173407	B	Inhibition of SYK in human lung mast cells assessed as reduction in anti-IgE-stimulated histamine release	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL233000	396427	CHEMBL233000	396427		5	282.36	3.66	81.13	0	O=C(Nc1sc2CCCCc2c1C#N)c3ccccc3	2478695	Activity					Not Evaluated			538083	CHEMBL1024905	B	Binding affinity to human SYK at 10 uM relative to control	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44776	CHEMBL1151712	19035792	J. Med. Chem.	2008	51	24	7898
CHEMBL1190711	664661	CHEMBL1190711	664661		2, BAY-613606	390.4	2.32	116.66	0	COc1ccc(cc1OC)c2cc3nccn3c(Nc4ncccc4C(=O)N)n2	12108569	EC50	=	81	nM	7.09				861827	CHEMBL2173420	B	Inhibition of SYK in human Ramos B cells assessed as reduction in Ca2+ release	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL475575	460141	CHEMBL475575	460141		11	426.47	1.99	154.7	0	COc1cc(Nc2nc(N[C@H]3CCCC[C@H]3N)n4ncnc4c2C(=O)N)cc(OC)c1	2575676	IC50	=	4	nM	8.4				490569	CHEMBL981176	B	Inhibition of human Syk	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			43944	CHEMBL1155791	18585046	Bioorg. Med. Chem.	2008	16	15	7347
CHEMBL164	102920	CHEMBL164	102920	MYRICETIN	18	318.24	1.39	147.68	1	OC1=C(Oc2cc(O)cc(O)c2C1=O)c3cc(O)c(O)c(O)c3	12108578	EC50	=	54000	nM	4.27				861808	CHEMBL2173401	B	Inhibition of SYK in human mast cells assessed as reduction in mast cell degranulation	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL2170585	1430070	CHEMBL2170585	1430070		28, Compound-D	386.41	3.57	89.36	0	COc1ccc(cc1OC)c2cc3nccn3c(Nc4ccc5cn[nH]c5c4)n2	12108623	Ki	=	10	nM	8				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL459850	447437	CHEMBL459850	447437		8	456.42	3.44	104.45	0	CN1C(=O)N(Cc2cnc(N)nc12)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C	2206902	EC50	=	71	nM	7.15				531125	CHEMBL974011	B	Inhibition of Syk by cellular assay	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			41910	CHEMBL1149823	18077425	Proc. Natl. Acad. Sci. U.S.A.	2007	104	50	19936
CHEMBL465107	473161	CHEMBL465107	473161		10p	408.41	2.1	128.94	0	COc1cc(Nc2nc(NCc3occc3)n4ccnc4c2C(=O)N)cc(OC)c1	2592613	IC50	=	2500	nM	5.6				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL28	1564	CHEMBL28	1564	APIGENIN	15	270.24	2.41	86.99	0	Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2	12108581	EC50	=	3000	nM	5.52				861808	CHEMBL2173401	B	Inhibition of SYK in human mast cells assessed as reduction in mast cell degranulation	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL2069338	1359476	CHEMBL2069338	1359476		4a	276.34	3.84	63.83	0	Cc1ccnc(Nc2cccc(n2)c3cccc(N)c3)c1	10984678	IC50	=	3242	nM	5.49				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL2069351	1359489	CHEMBL2069351	1359489		19c	454.53	3.08	111.12	0	Oc1ccc(CNc2cc(Nc3cnccn3)nc(c2)c4ccnc(c4)N5CCNCC5)cc1	10984695	IC50	=	8	nM	8.1				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL519777	473029	CHEMBL519777	473029		10h	432.48	3.29	115.8	0	COc1cc(Nc2nc(N[C@@H](C)c3ccccc3)n4ccnc4c2C(=O)N)cc(OC)c1	2592605	IC50	=	3300	nM	5.48				560453	CHEMBL1020473	B	Inhibition of human Syk (Met343 to Asn635) expressed in Sf9 cells by coupled spectrophotometric enzyme assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			44969	CHEMBL1139255	19010686	Bioorg. Med. Chem.	2009	17	1	284
CHEMBL2069341	1359479	CHEMBL2069341	1359479		7d	346.43	3.56	65.97	0	Cc1ccnc(Nc2cccc(n2)c3ccnc(c3)N4CCNCC4)c1	10984685	IC50	=	14	nM	7.85				835320	CHEMBL2072026	B	Inhibition of human recombinant full-length Syk using poly-GT as substrate after 40 mins by radioactive filtration assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	9	Protein			63029	CHEMBL2069193	22877633	Bioorg. Med. Chem. Lett.	2012	22	17	5419
CHEMBL515271	459205	CHEMBL515271	459205		84, R112	312.3	3.93	90.3	0	Oc1cccc(Nc2ncc(F)c(Nc3cccc(O)c3)n2)c1	12108555	EC50	=	1750	nM	5.76				861796	CHEMBL2173389	B	Inhibition of SYK assessed as reduction in IL8 secretion by cell based assay	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL515271	459205	CHEMBL515271	459205		84, R112	312.3	3.93	90.3	0	Oc1cccc(Nc2ncc(F)c(Nc3cccc(O)c3)n2)c1	12108554	EC50	=	400	nM	6.4				861795	CHEMBL2173388	B	Inhibition of SYK-mediated LAT phosphorylation	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
CHEMBL1190711	664661	CHEMBL1190711	664661		2, BAY-613606	390.4	2.32	116.66	0	COc1ccc(cc1OC)c2cc3nccn3c(Nc4ncccc4C(=O)N)n2	12108641	Ki	=	7.5	nM	8.12				861815	CHEMBL2173408	B	Inhibition of SYK	1	Scientific Literature				Autocuration	101026	CHEMBL5575	SINGLE PROTEIN	Q15046	Lysyl-tRNA synthetase	Homo sapiens	8	Homologous protein			65912	CHEMBL2169784	22257213	J. Med. Chem.	2012	55	8	3614
